№,Бизнес,Категория,Бизнес-модель,Главный вопрос,Коротко о процессе,Хук,Идея внедрения ИИ
17,Сервисный центр смартфонов,Локальные и бытовые услуги,Оплата за услугу,"Сервисный центр смартфонов: как поднять загрузку мастеров и маржу на запчастях, если клиент отказывается от ремонта сразу после платной диагностики?","Принимаем аппарат, фиксируем в акте внешнее состояние и комплектность, диагностируем неисправность, согласуем цену до работ, заказываем деталь, меняем модуль, тестируем и выдаём клиенту с гарантией.","Сервисный центр смартфонов: сколько заказов срывается, пока клиент неделю ждёт запчасть, а рядом за углом ему чинят телефон за час?","Сервисный центр смартфонов: ИИ прогнозирует спрос на модули и запчасти по моделям и держит ходовые на складе, убирает недельное ожидание детали и не теряет заказы, повышая загрузку мастеров."
18,Оптовая торговая компания,Производство и оптовая торговля,Оптовая маржа,"Оптовая торговая компания: как ускорить оборачиваемость склада и высвободить деньги, если продажи идут, а половина полок занята неликвидом?","Закупаем партии у поставщиков, храним на складе, менеджеры обрабатывают заявки, отгружаем клиентам, выставляем счета и контролируем дебиторскую задолженность.","Оптовая торговая компания: не парадокс ли — склад забит, отгрузки идут каждый день, а свободных денег нет, потому что они зависли в неликвиде?","Оптовая торговая компания: ИИ по истории продаж прогнозирует спрос и планирует объёмы закупок по позициям, помечает неликвид для уценки, ускоряет оборачиваемость склада и высвобождает замороженные в товаре деньги."
19,Агентство коммерческой недвижимости,"Недвижимость, строительство и дом",Комиссия со сделки,"Агентство коммерческой недвижимости: как сократить цикл сделки и не терять комиссию, если переговоры по объекту тянутся месяцами и срываются на финале?","Подбираем объект под запрос, организуем просмотры, ведём переговоры, проверяем юридическую чистоту, согласуем условия аренды или покупки и сопровождаем подписание.","Агентство коммерческой недвижимости: что рушит сделку на финальном шаге, когда объект найден, стороны согласны, а комиссия за полгода работы висит на волоске?","Агентство коммерческой недвижимости: ИИ сопоставляет объекты с запросами арендаторов и ранжирует сделки по вероятности закрытия, сокращает цикл сделки и снижает риск срыва на финале."
20,Частная медицинская клиника,"Здоровье, красота и спорт",Оплата за услугу,"Частная медицинская клиника: как поднять загрузку врачей и долю повторных визитов, если расписание в дырах от неявок, а назначения не доводятся до конца?","Записываем пациента, проводим приём, назначаем обследования, ставим диагноз, расписываем лечение и приглашаем на повторный визит для контроля.","Частная медицинская клиника: где теряется выручка, если расписание врача в дырах от неявок, а половина пациентов не возвращается на повторный приём?","Частная медицинская клиника: ИИ прогнозирует неявки и умно наполняет расписание, а триггерными напоминаниями возвращает пациентов на повторные визиты, поднимает загрузку врачей и долю дошедших назначений."
21,Управленческий консалтинг,B2B-услуги и консалтинг,Проектные услуги,"Управленческий консалтинг: как повысить утилизацию консультантов и продавать повторно, если каждый проект уникален, а результат сложно измерить деньгами?","Проводим диагностику компании, находим узкие места, разрабатываем стратегию, готовим рекомендации, помогаем внедрить изменения и замеряем эффект.","Управленческий консалтинг: что если ваш дорогой стратегический отчёт лёг в стол, потому что красивые слайды продать проще, чем измеримый результат на цифрах?","Управленческий консалтинг: ИИ транскрибирует интервью и воркшопы и готовит черновики отчётов и рекомендаций, поднимает утилизацию консультантов и делает результат повторяемым для повторных продаж."
22,Дистрибьютор строительных материалов,Производство и оптовая торговля,Оптовая маржа,"Дистрибьютор строительных материалов: как сгладить сезонность и высвободить оборотные деньги, если летом склад пустеет, а зимой забит и не движется?","Закупаем материалы у заводов, храним на складе, принимаем заявки прорабов, доставляем на объекты, оформляем отсрочки и забираем невостребованный товар.","Дистрибьютор строительных материалов: куда замораживаются деньги, когда сезон стройки закончился, а склад забит поддонами, которые до весны точно не продать?","Дистрибьютор строительных материалов: ИИ прогнозирует сезонный спрос по позициям и планирует закупки под сезон, сглаживает пик и провал склада и высвобождает оборотные деньги зимой."
23,Управляющая компания арендной недвижимости,"Недвижимость, строительство и дом",Аренда / абонентская плата,"Управляющая компания арендной недвижимости: как поднять заполняемость и собираемость платежей, если между арендаторами месяцы простоя, а долги висят кварталами?","Ищем арендаторов, заключаем договоры, собираем платежи, обслуживаем помещения, реагируем на заявки и готовим объекты к новым жильцам.","Управляющая компания арендной недвижимости: сколько съедает один месяц простоя между арендаторами, если он разом обнуляет годовую доходность объекта?","Управляющая компания арендной недвижимости: ИИ скорит арендаторов по риску неплатежа и заранее сигналит о просрочках для приоритетного взыскания, поднимает собираемость и режет висящие кварталами долги."
24,Диагностический центр,"Здоровье, красота и спорт",Оплата за услугу,"Диагностический центр: как окупить дорогое оборудование и поднять его загрузку, если томограф простаивает полдня, а в расписании зияют окна?","Записываем пациента, готовим к исследованию, проводим МРТ или УЗИ, врач описывает снимки, выдаём заключение и рекомендуем профильного специалиста.","Диагностический центр: отчего дорогой томограф не отбивается, если каждый его простой в пустом окне — это прямой убыток по амортизации?","Диагностический центр: ИИ прогнозирует спрос на слоты и умно заполняет окна с учётом неявок и overbooking, поднимает загрузку томографа и ускоряет окупаемость дорогого оборудования."
25,Необанк,Финансы,Процентная маржа + комиссии,"Необанк: как повысить активацию и LTV клиента, если привлечение дорогое, а после выпуска карты человек проводит одну операцию и засыпает?","Проводим онбординг в приложении, выпускаем карту, подключаем платежи и переводы, предлагаем вклады и кредиты, начисляем кэшбэк и держим поддержку в чате.","Необанк: что толку от миллиона установок приложения, если добрая половина клиентов ни разу не расплатилась картой после дорогого привлечения?","Необанк: ИИ ловит клиентов, засыпающих после выпуска карты, и запускает персональные триггеры на первую и регулярные операции, поднимает активацию и LTV при дорогом привлечении."
26,Дистрибьютор электроники,Производство и оптовая торговля,Оптовая маржа,"Дистрибьютор электроники: как удержать маржу и оборачиваемость, если техника быстро устаревает, а закупленная партия дешевеет прямо на складе?","Закупаем партии у вендоров, храним на складе, менеджеры продают в розницу и опт, отгружаем заказы и обрабатываем гарантийные возвраты.","Дистрибьютор электроники: сколько маржи сгорает, пока партия смартфонов лежит на складе и дешевеет быстрее, чем менеджеры успевают её распродать?","Дистрибьютор электроники: ИИ по скорости продаж и устареванию моделей рассчитывает своевременную уценку партии, распродаёт технику до обвала цены и удерживает маржу и оборачиваемость склада."
27,Оператор посуточной аренды,"Недвижимость, строительство и дом",Аренда / абонентская плата,"Оператор посуточной аренды: как поднять заполняемость и среднюю ставку, если между гостями квартиры простаивают, а уборка и комиссии площадок режут доход?","Готовим квартиры, публикуем объявления, принимаем брони, заселяем гостей, организуем уборку, собираем отзывы и корректируем цену под спрос.","Оператор посуточной аренды: что съедает доход квартиры между заездами, если один день простоя, уборка и комиссии площадок вместе стоят дороже ночи проживания?","Оператор посуточной аренды: ИИ ежедневно пересчитывает ставку под спрос, события и загрузку календаря, сокращает простой между гостями и поднимает среднюю ставку и заполняемость."
28,Медицинская лаборатория,"Здоровье, красота и спорт",Оплата за услугу,"Медицинская лаборатория: как поднять поток анализов и снизить себестоимость теста, если утром очередь на забор, а днём анализаторы стоят без загрузки?","Берём биоматериал, маркируем и штрихкодируем пробирки, центрифугируем и сортируем пробы, ставим на анализаторы, врач валидирует результаты, выдаём заключение пациенту онлайн.","Медицинская лаборатория: где прячется себестоимость, если утром очередь на забор крови, а дорогие анализаторы полдня работают вхолостую?","Медицинская лаборатория: ИИ прогнозирует поток проб и распределяет запись на забор по слотам, выравнивает загрузку анализаторов в течение дня, убирает утреннюю очередь и дневной простой техники, снижая себестоимость теста."
29,Ресторан,HoReCa и гостеприимство,Маржа на заказе,"Ресторан: как удержать фудкост и поднять средний чек, если по пятницам зал забит, а в будни столы пустуют и продукты списываются?","Закупаем продукты, делаем заготовки, кухня готовит по заказам, официанты обслуживают гостей, пробиваем счёт, списываем остатки и считаем фудкост по итогам смены.","Ресторан: как так, что зал полон по выходным, а по итогам месяца ноль, если фудкост, списания и бой посуды тихо доедают всю прибыль?","Ресторан: ИИ прогнозирует продажи блюд по дням недели и задаёт объём заготовок и закупок, сокращает списания в будни и удерживает фудкост при разной загрузке зала."
30,Сервис ремонта бытовой техники,Локальные и бытовые услуги,Оплата за услугу,"Сервис ремонта бытовой техники: как поднять маржу на выездах и запчастях, если мастер тратит полдня на дорогу, а клиент часто отказывается после диагностики?","Принимаем заявку, выезжаем на диагностику, называем цену, при отсутствии детали заказываем её и приезжаем повторно, ремонтируем на месте, проверяем работу и даём гарантию.","Сервис ремонта бытовой техники: во сколько обходится холостой выезд, если мастер приехал через весь город, а клиент передумал чинить после названной цены?","Сервис ремонта бытовой техники: ИИ по описанию и фото неисправности делает предварительную оценку и смету до выезда, отсекает отказников заранее и сокращает холостые выезды, поднимая маржу."
31,Девелопер жилой недвижимости,"Недвижимость, строительство и дом",Проектные услуги,"Девелопер жилой недвижимости: как ускорить темп продаж и удержать маржу проекта, если стройка идёт по графику, а квартиры в сданном доме не распроданы?","Покупаем участок, проектируем дом и получаем разрешения, привлекаем проектное финансирование банка, строим корпуса, продаём квартиры по ДДУ через эскроу, вводим в эксплуатацию и передаём дольщикам.","Девелопер жилой недвижимости: что опаснее — непроданные остатки в уже сданном доме или кассовый разрыв, когда стройка обгоняет темп продаж?","Девелопер жилой недвижимости: ИИ по темпу продаж, воронке лидов и остаткам по типам квартир ежедневно корректирует цены и скидки, распродавая неликвид сданных корпусов без обвала маржи проекта."
32,Клиника репродуктивной медицины,"Здоровье, красота и спорт",Оплата за услугу,"Клиника репродуктивной медицины: как поднять результативность протоколов ЭКО и вернуть пациентов на повторный цикл, чтобы окупить дорогую эмбриологию и оборудование?","Собираем анамнез и назначаем обследование, ведём протокол стимуляции, делаем пункцию фолликулов, оплодотворяем и культивируем эмбрионы в лаборатории, переносим и наблюдаем беременность.","Клиника репродуктивной медицины: почему при среднем чеке в сотни тысяч пациент отваливается ещё до пункции — на очередях, тревоге и неотвеченных звонках?","Клиника репродуктивной медицины: ИИ на данных анамнеза, гормонов и снимков эмбрионов подбирает протокол стимуляции и ранжирует эмбрионы для переноса, повышая долю успешных циклов и возвраты на повторный протокол."
33,Private label бренд на маркетплейсах,E-commerce и маркетплейсы,Производство + продажи,"Private label бренд на маркетплейсах: как удержать маржу при росте комиссий и логистики, если каждый новый SKU требует выкупа партии заранее?","Находим нишу по спросу, заказываем партию у фабрики под своим брендом, снимаем фото и карточки, отгружаем на склад площадки, крутим рекламу и следим за выкупом и остатками.","Private label бренд на маркетплейсах: куда утекает прибыль, когда оборот растёт, а вся маржа оседает в неликвиде на складе и растущей ставке хранения?","Private label бренд на маркетплейсах: ИИ по истории продаж, сезонности и рекламе прогнозирует спрос на каждый SKU перед выкупом партии, снижая неликвид на складе и плату за хранение."
34,Супермаркет,Розничная торговля,Маржа на товаре,"Супермаркет: как поднять маржу и средний чек, если оборот держат низкомаржинальные социально значимые товары, а списания скоропорта съедают прибыль?","Формируем заказ у поставщиков, принимаем и выкладываем товар, ставим ценники и акции, контролируем сроки годности, пробиваем на кассах, проводим инвентаризацию и списываем просрочку.","Супермаркет: сколько прибыли уезжает в мусорный бак каждый вечер, когда молочка и выпечка не проданы, а заказ на завтра уже сделан наугад?","Супермаркет: ИИ по чекам, срокам годности и остаткам считает заказ скоропорта и запускает автоуценку молочки и выпечки перед истечением срока, сокращая вечерние списания и потери маржи."
