SPEC Template — NEURONIUM AI (Commitment-aware AI Super Agent)

1. Feature Context
Section	Fill In
Then	The orchestrator performs declarative state-transition → checkpoint → trace decision WITHOUT executing further DAG nodes; on pause, latest resume_context is persisted and exposed via get_latest_pause_context; on continue/resume_run, execution restarts from the latest phase-boundary checkpoint with no duplicate side-effects; on revise/replan, the planner regenerates the affected sub-DAG and appends a CONTROL_APPLIED event.
Input	ControlCommand{ type, payload: dict }, optional InterruptRequest{ command, mode, export_path }; existing RunHandle.
Output	Updated RunStatus reflecting new state (PAUSED/RUNNING/CANCELLED), CONTROL_APPLIED trace event, optionally exported partial trace at export_path, resume_context dict on pause.
State	Allowed transitions: RUNNING → PAUSED (pause), PAUSED → RUNNING (continue/resume_run), RUNNING|PAUSED → CANCELLED (stop), RUNNING → RUNNING with new sub-DAG (revise/replan), any → ESCALATED on escalate. Invalid transitions are rejected with a typed error.
Functional Requirements
Req ID	Requirement
FR-4	The Orchestrator.apply_control method SHALL be idempotent: replaying the same ControlCommand on the same checkpoint MUST produce the same state and trace decision.
FR-5	resume_run(trace_id) SHALL restart execution from the last successfully written phase-boundary checkpoint and SHALL NOT re-execute already-COMPLETED nodes.
Non-Functional Requirements
Req ID	Requirement
NFR-4	Control latency: time from control() call to RunStatus reflecting new state SHALL be ≤ 500 ms p95 on local backends.
NFR-5	Safety: no control command SHALL ever cause data loss; on graceful pause/stop all in-flight checkpoints MUST be flushed before state transition.

User Story 2
Role	Auditor / Compliance Officer / QA Engineer
User Story ID	US-2
User Story	As an Auditor, I want to export and deterministically replay any past agent run from its trace, so that I can verify the agent's decisions, reproduce incidents, and produce evidence for compliance reviews.
UX / User Flow	1) Auditor receives a trace_id from production. 2) Runs `neuronium-agent` Python API: AgentRunner.export_trace(handle, "jsonl", "trace.jsonl") to obtain a portable trace bundle. 3) Imports the trace into an analysis env (Postgres/SQLite). 4) Calls AgentRunner.replay(trace_id) in strict offline mode → re-executes nodes against recorded artifacts only (no live LLM/tool calls). 5) Compares replay artifacts to original by artifact_id; mismatches are flagged. 6) Reads rendered HTML and critic evidence to assemble an audit report.

Use Case BDD 1

Use Case ID	UC-2.1
Given	A completed (or failed) run with trace_id T exists in the index store, all referenced artifacts are present in CAS, the auditor has read access to both stores.
When	The auditor calls AgentRunner.export_trace(handle, format ∈ {"jsonl", "json", "zip"}, path) or `neuronium-agent run --trace-id T --export-trace path`.
Then	An ordered, append-only trace file is produced at `path` containing every state transition, node start/finish, control event, critic verdict and artifact_id reference; for "zip" the bundle additionally embeds the referenced artifact bytes; checksum/manifest is included so any third party can re-import the bundle without access to the source store.
Input	RunHandle or trace_id, TraceExportFormat, target file path, optional include-artifacts flag (implicit for zip).
Output	A trace file (jsonl/json/zip) on disk; success boolean; manifest with event count, artifact count, sha256 digests.
State	Source store remains read-only; no run state changes; export operation appends an EXPORT_PERFORMED audit event referencing the export digest.
Functional Requirements
Req ID	Requirement
FR-6	export_trace SHALL emit events in deterministic chronological order keyed by (trace_id, sequence_no) with no gaps and no reordering.
FR-7	The exported bundle SHALL be self-describing: include a manifest with neuronium-v1 canonical-json schema id, event counts, and per-artifact sha256 digests so the bundle is verifiable offline.
FR-8	Re-importing an exported bundle into an empty store SHALL recreate a queryable run that passes the same get_trace_events / read_artifact_json calls byte-for-byte.
Non-Functional Requirements
Req ID	Requirement
NFR-6	Throughput: export of a 10k-event trace SHALL complete in ≤ 10s p95 on local SSD.
NFR-7	Integrity: every exported artifact reference SHALL match its sha256-based artifact_id; any mismatch MUST abort the export with a typed error.

Use Case (+ Edges) BDD 2
Field	Fill In
Use Case ID	UC-2.2
Given	A trace_id T is available in the local store (or imported from a bundle) and all referenced artifacts are reachable via the configured BlobStore.
When	The auditor calls AgentRunner.replay(trace_id=T) which runs the executor in strict offline mode.
Then	The DAG is re-executed using recorded inputs only; every ModelNode/McpToolNode SHALL be served from the recorded artifact instead of a live call; each newly produced artifact_id is compared against the recorded one; the run finishes in COMPLETED with a replay_report listing matches, mismatches and any missing artifacts; on any mismatch the run is marked REPLAY_DIVERGED for investigation.
Input	trace_id, optional replay options (e.g., compare_mode = strict|loose).
Output	RunHandle for the replay run, replay_report{ matched: int, diverged: list[node_ref], missing: list[artifact_id] }, new trace events tagged origin="replay".
State	A new replay run is created with state RUNNING → COMPLETED|FAILED; original run is untouched; replay events are appended with parent_trace_id pointing to T.
Functional Requirements
Req ID	Requirement
FR-9	Strict replay mode SHALL block any outbound network call (LLM, MCP, web) and SHALL raise NetworkAttemptInReplayError if a node attempts one without a recorded artifact.
FR-10	The replay engine SHALL surface a structured replay_report and SHALL classify divergences as TRANSIENT (timestamp-only), PERSISTENT (output bytes differ), or CRITICAL (DAG topology differs).
Non-Functional Requirements
Req ID	Requirement
NFR-8	Reproducibility: ≥ 99% of recorded runs in the regression suite SHALL replay byte-identical given identical config and CAS contents.
NFR-9	Isolation: replay SHALL run in a sandboxed process with no write access to the production index store; only a dedicated replay_index is mutated.

User Story 3

User Story ID	US-3
User Story	As a Platform / Backend Developer, I want to deploy Neuronium in production with Postgres + Redis + RQ workers and pluggable critics/MCP tools, so that I can run many agent jobs concurrently with horizontal scalability, persistent storage, and policy-grade verification.
UX / User Flow	1) DevOps provisions Postgres (with pgvector) and Redis. 2) Updates neuronium.toml: storage.index_backend="postgres", queue=redis, llm.provider, optional embeddings. 3) Runs `pip install -e ".[all]"` on worker images. 4) Starts API/control plane using AgentRunner; starts N workers with `neuronium-agent worker`. 5) Submits jobs through Python API or CLI; jobs are enqueued to RQ; workers pick them, execute DAG, write to shared CAS+Postgres. 6) Developer plugs in custom MCP tools and custom critics, configures recovery policies, and monitors progress via trace_event_listener / dashboards.

Use Case (+ Edges) BDD 1

Use Case ID	UC-3.1
Given	Postgres ≥14 with pgvector, Redis ≥6, shared blob storage (FS or object) are reachable; neuronium.toml points to them; Docker is available for CodeNode sandbox; required MCP tool servers are running and authenticated.
When	An operator deploys ≥1 control-plane process and ≥N worker processes (`neuronium-agent worker`), then submits RunRequests at rate R via the public API; workers concurrently consume RQ jobs and execute DAG nodes; custom critics validate outputs; recovery policies handle TRANSIENT failures.
Then	The system SHALL distribute work without duplicate execution (RQ job dedupe by execution_id), persist all artifacts/trace into the shared backends, isolate CodeNode execution in a Docker sandbox, surface health and progress via trace_event_listener, and degrade gracefully (DLQ + recovery policy) on PERSISTENT failures while keeping CRITICAL failures from cascading across runs.
Input	neuronium.toml with storage=postgres + queue=redis, env vars (DB URL, REDIS_URL, OPENAI_API_KEY), optional MCP tool registry, optional custom critic and recovery-policy modules.
Output	Per-job RunHandle, persisted runs/artifacts/trace_events in Postgres, indexed embeddings (if pgvector enabled), worker logs/metrics, rendered HTML artifacts, RQ job statuses.
State	Cluster-wide: each run owned by exactly one worker at a time (lease-based); Postgres tables (runs, artifacts, trace_events, artifact_index, embeddings) updated atomically per phase boundary; Redis holds queues + leases.
Functional Requirements
Req ID	Requirement
FR-11	The system SHALL support pluggable backends behind two interfaces (BlobStore, IndexStore) with at minimum: blob = fs_cas; index = sqlite, postgres; selection driven by neuronium.toml without code changes.
FR-12	The system SHALL provide a worker entry point (`neuronium-agent worker`) that consumes RQ jobs, leases runs by execution_id, executes the DAG, and releases the lease on terminal state; orphaned leases MUST expire and be re-claimable.
Non-Functional Requirements
Req ID	Requirement
NFR-10	Scalability: linear throughput up to 32 concurrent workers on the standard benchmark DAG (≥ 0.85 scaling efficiency); no global locks on the hot path.
NFR-11	Security: CodeNode SHALL execute in a Docker sandbox with no host network and read-only mounts of approved inputs; secrets (API keys) are read from env/secret store and never persisted into trace or artifacts.

Use Case (+ Edges) BDD 2
Field	Fill In
Use Case ID	UC-3.2
Given	The platform is deployed (Postgres + Redis + ≥1 worker), trace_event_listener subscribers (Prometheus exporter / Loki shipper / OpenTelemetry adapter) are registered through create_runner(trace_event_listener=...), the SRE has access to dashboards.
When	Runs execute under load and emit trace events; the SRE queries dashboards for throughput, p95 latency, error rate, queue depth, lease age, critic FAIL rate, replay divergence rate; alerts fire on threshold breach (e.g., queue_depth > N, lease_age > 30s, critic_fail_rate > 5%).
Then	Every emitted trace event SHALL reach all registered listeners in order with ≤ 50 ms p95 fan-out latency; metrics SHALL include per-run, per-node-type and per-worker labels; structured logs SHALL include trace_id, execution_id, node_ref correlation IDs; alert payload SHALL contain the offending trace_id so the operator can pivot to the run timeline in one click.
Input	Listener callable Callable[[dict[str,Any]], None] passed to create_runner; alerting thresholds configured externally (Prometheus rules / Grafana / OpsGenie).
Output	Stream of trace event dicts to listeners; metrics scraped from /metrics endpoint (or pushed); alerts; correlated structured logs.
State	Listener registration is in-memory per process; no central state mutated; alerting state lives in the external monitoring system.
Functional Requirements
Req ID	Requirement
FR-13	The system SHALL allow registration of one or more trace_event_listener callables via create_runner; events MUST be delivered in the same order they are persisted to the trace store, with at-least-once semantics per listener.
FR-14	Structured logs SHALL include correlation fields trace_id, execution_id, node_ref, control_command_id (when applicable) on every line; default formatter SHALL be JSON-line.
Non-Functional Requirements
Req ID	Requirement
NFR-12	Observability fan-out: time from event persisted to all listeners invoked SHALL be ≤ 50 ms p95 with up to 8 listeners.
NFR-13	A slow or failing listener MUST NOT block executor progress; failures SHALL be logged and isolated, and a circuit-breaker SHALL drop the listener after N consecutive failures with an alert.

User Story 4
Role	Knowledge / ML Engineer
User Story ID	US-4
User Story	As a Knowledge Engineer, I want to ingest documents and prior-run artifacts into the GraphRAG-lite memory and let the agent retrieve them during DAG execution, so that agents can reuse organizational knowledge without re-running expensive computations.
UX / User Flow	1) Engineer prepares a corpus (markdown / PDFs / JSON / prior trace bundles). 2) Calls memory.ingest(source) which chunks → embeds → writes MemoryNode + MemoryEdge + vector(pgvector) rows. 3) Verifies via memory.search(query, k) returns relevant chunks with scores. 4) Configures a node in the DAG to call agentic retrieval (memory.retrieve(query, k, hops)). 5) During execution the agent fetches relevant context, includes it in the LLM prompt, and emits a MEMORY_HIT trace event with retrieved IDs.

Use Case (+ Edges) BDD 1

Use Case ID	UC-4.1
Given	A configured embeddings provider (sentence-transformers or OpenAI), an IndexStore that supports pgvector (or sqlite-vec fallback), write access, and a source corpus.
When	Engineer calls memory.ingest(source, kind, metadata) which chunks the source, computes embeddings, writes MemoryNode rows with content_artifact_id (CAS) + embedding vectors and MemoryEdge rows for explicit relations.
Then	Each chunk SHALL be addressable by canonical MemoryNode.id, the embedding vector dimension SHALL match the configured model, vector index SHALL be updated transactionally, and a MEMORY_INGESTED trace event SHALL be emitted with counts and source digest; duplicate ingest of the same source SHALL be idempotent (no duplicate MemoryNode rows by content sha256).
Input	source (path / URL / bytes / trace_id), kind (Literal["doc","artifact","trace"]), metadata dict, optional chunking config (size, overlap), optional explicit edges list.
Output	IngestReport{ nodes_created, edges_created, embeddings_written, source_digest, duration_ms }; MEMORY_INGESTED trace event.
State	IndexStore: MemoryNode + MemoryEdge + embedding rows added (or skipped if duplicate); BlobStore: chunk content stored in CAS by content sha256.
Functional Requirements
Req ID	Requirement
FR-15	memory.ingest SHALL chunk, embed and persist with deduplication by content sha256, and SHALL emit a MEMORY_INGESTED trace event including source_digest and counts.
FR-16	Embedding writes SHALL be transactional with MemoryNode/MemoryEdge inserts; partial failures MUST roll back to prevent dangling vectors.
Non-Functional Requirements
Req ID	Requirement
NFR-14	Throughput: ingest of 1k chunks (~1 MB total) SHALL complete in ≤ 30 s p95 with default embeddings model on a 4-vCPU host.

Use Case (+ Edges) BDD 2
Field	Fill In
Use Case ID	UC-4.2
Given	Memory store has been ingested (UC-4.1 ran successfully), embeddings are available, and a node in the DAG declares a retrieval step with parameters (query, k, hops, filter).
When	The executor invokes memory.retrieve(query, k, hops, filter) during node execution; the system performs vector kNN search over MemoryNode embeddings, then expands by graph walk over MemoryEdge up to `hops`, deduplicates and ranks by score.
Then	The retrieval SHALL return up to k+graph-expansion results as RetrievalResult objects with score, source, and content_artifact_id; a MEMORY_HIT trace event SHALL be emitted with the retrieved IDs and scores so replay can reproduce identical context; if no results pass the score threshold the node SHALL be served an empty context and a MEMORY_MISS event SHALL be emitted.
Input	query (str), k (int, default 10), hops (int, default 1), filter (dict, e.g., kind="doc"), score_threshold (float, optional).
Output	list[RetrievalResult{ id, score, content_artifact_id, source, hops }]; MEMORY_HIT or MEMORY_MISS trace event.
State	IndexStore: read-only vector + graph query; trace store: append MEMORY_HIT/MISS event with retrieved IDs (so replay can reproduce identical context deterministically).
Functional Requirements
Req ID	Requirement
FR-17	memory.retrieve SHALL combine vector kNN search with graph expansion over MemoryEdge up to `hops`, returning results deduplicated and ranked by combined score.
FR-18	Every retrieval call SHALL emit a MEMORY_HIT (or MEMORY_MISS) trace event recording the resolved MemoryNode IDs so that replay re-executes the node with identical context regardless of changes to the live memory store.
Non-Functional Requirements
Req ID	Requirement
NFR-15	Latency: retrieval p95 ≤ 200 ms for k=10, hops=1 over a 100k-node memory store on Postgres+pgvector with appropriate indexes.
NFR-16	Quality: recall@10 ≥ 0.85 on the standard retrieval benchmark dataset.

User Story 5
Role	Domain Expert / QA Engineer
User Story ID	US-5
User Story	As a Domain Expert, I want to define and register custom critic verifiers and have the agent reject and revise failing node outputs automatically, so that domain-specific business rules are enforced before any side-effect is committed.
UX / User Flow	1) Expert writes a Python class implementing CriticProtocol.verify(node_ref, output, context) → Verdict. 2) Registers it via critics.register("billing-policy", BillingCritic) or via entry-points in setup.cfg. 3) Configures neuronium.toml [verification] critics = ["demo","generic","billing-policy"]. 4) Runs an agent: each node output is gated by all matching critics; on PASS the artifact is committed; on FAIL the node is rejected, evidence stored, and the orchestrator triggers revise/replan automatically (or escalates depending on policy). 5) Expert inspects CriticVerdict rows + evidence artifact for tuning.

Use Case (+ Edges) BDD 1

Use Case ID	UC-5.1
Given	A Python module providing a class that implements CriticProtocol (verify(node_ref, output, context) → Verdict{result: PASS|FAIL|WARN, evidence_artifact_id, message}); the module is importable in the worker environment.
When	The expert registers it via critics.register(name, cls) at process start, OR declares it under [verification.critics] in neuronium.toml, OR exposes it through Python entry-point group "neuronium_agent.critics".
Then	The orchestrator SHALL discover the critic at startup, validate that it implements CriticProtocol, include it in the gate chain for matching node types, and call verify() on every output of those nodes; verdicts SHALL be persisted to the CriticVerdict table with evidence_artifact_id, and a CRITIC_VERDICT trace event SHALL be emitted with name, result and evidence pointer.
Input	critic class implementing CriticProtocol; registration name (str); optional match config (node_type, tag, run.metadata filter); optional priority (int, default 100).
Output	registration receipt; subsequent CRITIC_VERDICT trace events; CriticVerdict rows with evidence; aggregated critic_pass_rate metric.
State	In-memory critic registry per process; verdict rows in IndexStore; evidence blob in CAS.
Functional Requirements
Req ID	Requirement
FR-19	The system SHALL discover critics from three sources at startup (programmatic register, neuronium.toml, entry-points) and SHALL fail fast on any class that does not implement CriticProtocol or has a duplicate name.
FR-20	Every node output SHALL be passed through all matching critics in priority order before the artifact is marked committed; on the first FAIL the node SHALL be marked rejected and downstream execution SHALL be blocked.
Non-Functional Requirements
Req ID	Requirement
NFR-17	Critic gate overhead SHALL be ≤ 20 ms p95 per critic per node (excluding the critic's own logic), and the gate chain SHALL run in-process to avoid extra hops.

Use Case (+ Edges) BDD 2
Field	Fill In
Use Case ID	UC-5.2
Given	A run is RUNNING; a node has just produced an output; one or more registered critics return Verdict.result = FAIL with evidence; recovery policy declares revise_on_critic_fail = true with a max_revise_attempts limit.
When	The orchestrator receives the FAIL verdict and applies the policy, automatically issuing an internal ControlCommand(type="revise", payload={node_ref, evidence_artifact_id, attempt}); the planner regenerates the affected sub-DAG with the evidence as additional context; the executor re-runs the revised sub-DAG.
Then	The original failed artifact SHALL be retained for audit (not deleted), a CRITIC_REJECTED + CONTROL_APPLIED + REVISE_TRIGGERED event chain SHALL be appended; the new attempt counter SHALL increment; if max_revise_attempts is exceeded the run SHALL transition to ESCALATED (or FAILED if no escalation handler) with a REVISE_GIVE_UP event; on a subsequent PASS the run continues with the revised artifact committed.
Input	FAIL Verdict from critic, recovery policy config (revise_on_critic_fail, max_revise_attempts, escalation_target); current node + DAG state.
Output	REVISE_TRIGGERED / CRITIC_REJECTED / REVISE_GIVE_UP / ESCALATED trace events; new attempt nodes in the DAG; updated RunStatus; final committed artifact (post-revise) or terminal ESCALATED/FAILED state.
State	Run state stays RUNNING during revise; node attempts are tracked as separate node_ref attempts with an attempt index; counter resets on escalate/restart.
Functional Requirements
Req ID	Requirement
FR-21	On critic FAIL, the orchestrator SHALL automatically apply the configured recovery policy (retry / revise / escalate) without requiring an external operator if revise_on_critic_fail is enabled.
FR-22	Failed artifacts and their evidence SHALL be retained, queryable by node_ref and attempt index, and exportable so QA can analyze the failure trail offline.
Non-Functional Requirements
Req ID	Requirement
NFR-18	Convergence: on the QA benchmark suite, ≥ 80% of revisable failures SHALL converge to PASS within max_revise_attempts ≤ 3.

User Story 6
Role	Tool / Plugin Developer
User Story ID	US-6
User Story	As a Tool/Plugin Developer, I want to register external MCP tools and ship custom node types, critics and recovery policies as installable plugins, so that I can extend Neuronium's capabilities without forking the core repository.
UX / User Flow	1) Developer writes an MCP server (or reuses an existing one) exposing tools with JSON Schema. 2) Adds the endpoint + auth to neuronium.toml [[tools.mcp]]. 3) The first run discovers tools via the MCP handshake, registers them in McpToolRegistry, and makes them callable from any McpToolNode in the DAG. 4) For deeper customization, the developer ships a Python package with entry-points (group "neuronium_agent.nodes" / ".critics" / ".recovery_policies"); pip install in worker image automatically registers them. 5) The plan can then reference the new node type or policy by name; tracing/replay/critics work transparently.

Use Case (+ Edges) BDD 1

Use Case ID	UC-6.1
Given	A reachable MCP server endpoint with valid auth credentials, JSON Schema descriptions for each exposed tool, and an entry under [[tools.mcp]] in neuronium.toml.
When	The agent process starts (or a new tool is hot-registered) and performs the MCP handshake; an McpToolNode in the DAG invokes a registered tool by name with typed input matching its JSON Schema.
Then	Tool descriptors SHALL be validated against JSON Schema, persisted in McpToolRegistry with their schema_artifact_id, and exposed to the planner; on invocation the system SHALL marshal input → MCP call → unmarshal output, write the response into CAS, emit MCP_TOOL_CALLED + MCP_TOOL_RESULT trace events with input/output artifact IDs, and apply timeout + retry per node config; schema-violating responses SHALL be rejected with a typed McpProtocolError.
Input	tool_name (str), payload (dict matching tool input schema), node-level timeout, retry config; MCP server endpoint + auth from config.
Output	tool_response (dict), output_artifact_id; MCP_TOOL_CALLED + MCP_TOOL_RESULT trace events; updated NodeStatus.
State	McpToolRegistry persisted in IndexStore; per-call leases or sessions managed by the MCP client; CAS holds input + output blobs.
Functional Requirements
Req ID	Requirement
FR-23	The MCP integration SHALL validate every tool input and output against the registered JSON Schema and SHALL reject mismatches with a typed McpProtocolError.
FR-24	Tool calls SHALL be replayable: the recorded MCP_TOOL_RESULT artifact MUST be served verbatim during replay, and any live MCP call attempt in strict replay SHALL raise NetworkAttemptInReplayError.
Non-Functional Requirements
Req ID	Requirement
NFR-19	MCP overhead: marshalling/unmarshalling + registry lookup SHALL add ≤ 100 ms p95 per call (excluding the tool's own work and network).

Use Case (+ Edges) BDD 2
Field	Fill In
Use Case ID	UC-6.2
Given	A Python package implementing a custom node type (NodeProtocol with type identifier "my-node") and/or a recovery policy (RecoveryPolicyProtocol), declared via entry-points in pyproject.toml: [project.entry-points."neuronium_agent.nodes"] my-node = "mypkg:MyNode"; package is pip-installed in the worker environment.
When	The agent process starts; the plugin loader scans entry-points and imports declared classes; the planner SHALL be allowed to emit DAG nodes of type "my-node" and recovery policies of registered names; on execution the executor instantiates the plugin class with the standard contract.
Then	The plugin class SHALL be validated against the protocol (TypeError on mismatch), registered in the type registry, and become available to the planner; tracing, critics, replay, sandboxing and observability SHALL work transparently for the new type with no core code changes; a PLUGIN_LOADED trace event SHALL list each loaded plugin name + version + module digest at startup.
Input	pyproject.toml entry-points block; installed Python package implementing the protocol; optional config block under [plugins.my-node] in neuronium.toml.
Output	Type registry entries; PLUGIN_LOADED trace event; new node executions traced uniformly with built-in nodes.
State	In-memory plugin registry per process; persistent type-name → module digest mapping recorded for replay reproducibility.
Functional Requirements
Req ID	Requirement
FR-25	The plugin loader SHALL discover plugins via three entry-point groups (neuronium_agent.nodes / .critics / .recovery_policies) at startup and SHALL fail fast on any class that does not implement the declared protocol.
FR-26	Replay SHALL verify that loaded plugin module digests match those recorded in the original run; a mismatch SHALL emit a PLUGIN_DIGEST_DRIFT warning and (in strict mode) raise PluginDriftError.
FR-27	Custom nodes SHALL be subject to the same sandboxing rules as built-in nodes: code-executing custom nodes MUST run in the Docker sandbox with no host network unless explicitly whitelisted in config.
Non-Functional Requirements
Req ID	Requirement
NFR-20	Time-to-onboard a custom node from skeleton to integration test green SHALL be ≤ 1 day for a Python developer familiar with the project.
NFR-21	Plugin loading SHALL add ≤ 500 ms to process startup for up to 20 registered plugins.

3.1 Client Side
Area	Fill In
Client Type	(a) CLI `neuronium-agent` (Click-based) for human operators; (b) Python API `neuronium_agent.api.create_runner()` / `AgentRunner` for programmatic integration; (c) optional rendered HTML artifact viewer for read-only inspection. No first-party Web/Telegram/Slack UI in scope; integrations are left to adopters via the public API and trace_event_listener callback.
User Entry Points	CLI commands: `neuronium-agent run`, `neuronium-agent run --interactive`, `neuronium-agent run --trace-id <id>` (resume), `neuronium-agent run --replay <id>`, `neuronium-agent worker`, `neuronium-agent run -v` / `--summary`. Python API entry: `from neuronium_agent.api import create_runner`. Config entry: `neuronium.toml` + env var `NEURONIUM_OPENAI_API_KEY`.
Main Screens / Commands	Timeline view (default): plan → node-by-node progress → critic verdicts → final summary. Verbose view (-v): stdout/stderr per node + critic evidence. Summary view (--summary): execution_id, trace_id, totals, durations, terminal state. Interactive view: keystroke control (p=pause, s=stop, r=revise). Worker view: job-pull log, lease info.
Input / Output Format	Input: RunRequest JSON-compatible dict { objective: str, constraints: list[str], mode: "batch"|"supervised"|"interactive", metadata: dict }; ControlCommand { type, payload }; CLI flags. Output: RunHandle + RunStatus DTOs; trace files in jsonl|json|zip; artifacts addressed by canonical artifact_id (sha256-based); rendered HTML; structured logs.
